transaction_id,date,department,expense_category,vendor,amount_inr,cost_center,approved_by,description,month,day_of_week,is_weekend,flag_statistical_outlier,flag_isolation_forest,flag_possible_duplicate,any_flag
TXN00846,2025-04-01,It,Utilities,State Electricity Board,84000.0,CC-IT-3,EMP1040,Utilities - routine it expense,2025-04,Tuesday,False,False,False,False,False
TXN00003,2025-04-01,Hse,Office Supplies,Local Stationery Mart,8800.0,CC-HSE-1,EMP1032,Office Supplies - routine hse expense,2025-04,Tuesday,False,False,False,False,False
TXN00740,2025-04-01,Logistics,Travel & Conveyance,Air India,26800.0,CC-LOG-3,EMP1015,Travel & Conveyance - routine logistics expense,2025-04,Tuesday,False,False,False,False,False
TXN01698,2025-04-01,Drilling,Contractor Payment,Tata Projects,1266300.0,CC-DRI-1,EMP1039,Contractor Payment - routine drilling expense,2025-04,Tuesday,False,False,False,False,False
TXN01022,2025-04-01,Admin,Contractor Payment,Local Contractor Pvt Ltd,1859600.0,CC-ADM-2,EMP1038,Contractor Payment - routine admin expense,2025-04,Tuesday,False,False,True,False,True
TXN00599,2025-04-02,Hr,Equipment Maintenance,BHEL,506700.0,CC-HR-2,EMP1014,Equipment Maintenance - routine hr expense,2025-04,Wednesday,False,False,False,False,False
TXN01208,2025-04-02,It,Fuel & POL,BPCL,204700.0,CC-IT-3,EMP1009,Fuel & POL - routine it expense,2025-04,Wednesday,False,False,False,False,False
TXN01237,2025-04-02,Admin,Utilities,Municipal Water Dept,89100.0,CC-ADM-2,EMP1037,Utilities - routine admin expense,2025-04,Wednesday,False,False,False,False,False
TXN00575,2025-04-03,Procurement,Travel & Conveyance,Local Taxi Union,6300.0,CC-PRO-3,EMP1041,Travel & Conveyance - routine procurement expense,2025-04,Thursday,False,False,False,False,False
TXN00671,2025-04-03,Drilling,Office Supplies,Staples India,9200.0,CC-DRI-1,EMP1043,Office Supplies - routine drilling expense,2025-04,Thursday,False,False,False,False,False
TXN00974,2025-04-03,Logistics,Contractor Payment,Local Contractor Pvt Ltd,222700.0,CC-LOG-2,EMP1037,Contractor Payment - routine logistics expense,2025-04,Thursday,False,False,False,False,False
TXN01180,2025-04-03,Logistics,Utilities,State Electricity Board,137100.0,CC-LOG-2,EMP1035,Utilities - routine logistics expense,2025-04,Thursday,False,False,False,False,False
TXN00785,2025-04-03,It,Training & Seminars,Internal Training Cell,18000.0,CC-IT-3,EMP1044,Training & Seminars - routine it expense,2025-04,Thursday,False,False,False,False,False
TXN01038,2025-04-03,Admin,Equipment Maintenance,BHEL,167600.0,CC-ADM-1,EMP1037,Equipment Maintenance - routine admin expense,2025-04,Thursday,False,False,False,False,False
TXN00978,2025-04-03,Admin,Fuel & POL,BPCL,193700.0,CC-ADM-1,EMP1018,Fuel & POL - routine admin expense,2025-04,Thursday,False,False,False,False,False
TXN00613,2025-04-03,Admin,Travel & Conveyance,Local Taxi Union,42100.0,CC-ADM-3,EMP1034,Travel & Conveyance - routine admin expense,2025-04,Thursday,False,False,False,True,True
TXN00456,2025-04-03,Procurement,Fuel & POL,IndianOil Corp,163700.0,CC-PRO-1,EMP1008,Fuel & POL - routine procurement expense,2025-04,Thursday,False,False,False,False,False
TXN00807,2025-04-03,Admin,Fuel & POL,IndianOil Corp,57900.0,CC-ADM-2,EMP1010,Fuel & POL - routine admin expense,2025-04,Thursday,False,False,False,False,False
TXN01499,2025-04-04,It,Catering & Hospitality,Taj Catering Services,50900.0,CC-IT-1,EMP1020,Catering & Hospitality - routine it expense,2025-04,Friday,False,False,False,False,False
TXN00710,2025-04-04,Drilling,IT Services & Software,Microsoft India,18600.0,CC-DRI-3,EMP1025,IT Services & Software - routine drilling expense,2025-04,Friday,False,False,False,False,False
TXN00945,2025-04-04,Logistics,Travel & Conveyance,Local Taxi Union,22000.0,CC-LOG-1,EMP1003,Travel & Conveyance - routine logistics expense,2025-04,Friday,False,False,False,False,False
TXN00775,2025-04-04,Procurement,Office Supplies,Local Stationery Mart,7200.0,CC-PRO-2,EMP1032,Office Supplies - routine procurement expense,2025-04,Friday,False,False,False,False,False
TXN00927,2025-04-04,Hr,Travel & Conveyance,Local Taxi Union,2400.0,CC-HR-2,EMP1036,Travel & Conveyance - routine hr expense,2025-04,Friday,False,False,False,False,False
TXN00734,2025-04-05,Admin,Equipment Maintenance,Local Workshop Co,204500.0,CC-ADM-1,EMP1033,Equipment Maintenance - routine admin expense,2025-04,Saturday,True,False,False,False,False
TXN00312,2025-04-05,Procurement,Utilities,State Electricity Board,75800.0,CC-PRO-2,EMP1026,Utilities - routine procurement expense,2025-04,Saturday,True,False,False,False,False
TXN01005,2025-04-05,Drilling,Training & Seminars,IIM Institute,12600.0,CC-DRI-3,EMP1046,Training & Seminars - routine drilling expense,2025-04,Saturday,True,False,False,False,False
TXN00580,2025-04-05,Hr,Utilities,Municipal Water Dept,137200.0,CC-HR-1,EMP1028,Utilities - routine hr expense,2025-04,Saturday,True,False,False,False,False
TXN00227,2025-04-05,Drilling,Training & Seminars,Internal Training Cell,78800.0,CC-DRI-2,EMP1029,Training & Seminars - routine drilling expense,2025-04,Saturday,True,False,False,False,False
TXN00744,2025-04-05,Drilling,Training & Seminars,Internal Training Cell,26000.0,CC-DRI-3,EMP1016,Training & Seminars - routine drilling expense,2025-04,Saturday,True,False,False,False,False
TXN00963,2025-04-05,Maintenance,Equipment Maintenance,Larsen & Toubro,512300.0,CC-MAI-1,EMP1014,Equipment Maintenance - routine maintenance expense,2025-04,Saturday,True,False,False,False,False
TXN01074,2025-04-06,Hr,Utilities,State Electricity Board,12400.0,CC-HR-2,EMP1038,Utilities - routine hr expense,2025-04,Sunday,True,False,False,False,False
TXN00562,2025-04-06,It,Utilities,State Electricity Board,149100.0,CC-IT-3,EMP1032,Utilities - routine it expense,2025-04,Sunday,True,False,False,False,False
TXN00482,2025-04-06,Admin,Office Supplies,Local Stationery Mart,1600.0,CC-ADM-1,EMP1037,Office Supplies - routine admin expense,2025-04,Sunday,True,False,False,False,False
TXN00285,2025-04-06,Drilling,IT Services & Software,TCS,252600.0,CC-DRI-2,EMP1018,IT Services & Software - routine drilling expense,2025-04,Sunday,True,False,False,False,False
TXN01644,2025-04-06,It,Fuel & POL,IndianOil Corp,210500.0,CC-IT-2,EMP1027,Fuel & POL - routine it expense,2025-04,Sunday,True,False,False,False,False
TXN00780,2025-04-06,Hr,IT Services & Software,Wipro,275600.0,CC-HR-3,EMP1015,IT Services & Software - routine hr expense,2025-04,Sunday,True,False,False,False,False
TXN01517,2025-04-06,Maintenance,Office Supplies,Local Stationery Mart,1700.0,CC-MAI-1,EMP1043,Office Supplies - routine maintenance expense,2025-04,Sunday,True,False,False,False,False
TXN00012,2025-04-06,Drilling,Catering & Hospitality,Local Caterers Assoc,48500.0,CC-DRI-1,EMP1023,Catering & Hospitality - routine drilling expense,2025-04,Sunday,True,False,False,False,False
TXN01803,2025-04-06,Admin,Travel & Conveyance,Local Taxi Union,42100.0,CC-ADM-3,EMP1034,Travel & Conveyance - routine admin expense (possible duplicate),2025-04,Sunday,True,False,False,True,True
TXN00937,2025-04-07,Logistics,Contractor Payment,Tata Projects,1774500.0,CC-LOG-2,EMP1037,Contractor Payment - routine logistics expense,2025-04,Monday,False,False,False,False,False
TXN00688,2025-04-07,Maintenance,Fuel & POL,HPCL,86300.0,CC-MAI-1,EMP1021,Fuel & POL - routine maintenance expense,2025-04,Monday,False,False,False,False,False
TXN00624,2025-04-07,Production,Equipment Maintenance,Schlumberger,276100.0,CC-PRO-1,EMP1042,Equipment Maintenance - routine production expense,2025-04,Monday,False,False,False,False,False
TXN00487,2025-04-07,Logistics,Catering & Hospitality,Taj Catering Services,12500.0,CC-LOG-1,EMP1024,Catering & Hospitality - routine logistics expense,2025-04,Monday,False,False,False,False,False
TXN00486,2025-04-07,Hse,Fuel & POL,BPCL,216400.0,CC-HSE-3,EMP1046,Fuel & POL - routine hse expense,2025-04,Monday,False,False,False,False,False
TXN00141,2025-04-07,Drilling,Training & Seminars,NIIT,10800.0,CC-DRI-3,EMP1011,Training & Seminars - routine drilling expense,2025-04,Monday,False,False,False,False,False
TXN01132,2025-04-08,Finance,Training & Seminars,NIIT,27000.0,CC-FIN-3,EMP1048,Training & Seminars - routine finance expense,2025-04,Tuesday,False,False,False,False,False
TXN01465,2025-04-08,Logistics,Fuel & POL,IndianOil Corp,235400.0,CC-LOG-3,EMP1018,Fuel & POL - routine logistics expense,2025-04,Tuesday,False,False,False,False,False
TXN01260,2025-04-08,Logistics,Utilities,Municipal Water Dept,42600.0,CC-LOG-1,EMP1012,Utilities - routine logistics expense,2025-04,Tuesday,False,False,False,False,False
TXN01372,2025-04-08,Finance,Fuel & POL,IndianOil Corp,176100.0,CC-FIN-3,EMP1021,Fuel & POL - routine finance expense,2025-04,Tuesday,False,False,False,False,False
TXN01231,2025-04-08,Maintenance,Utilities,State Electricity Board,127300.0,CC-MAI-3,EMP1028,Utilities - routine maintenance expense,2025-04,Tuesday,False,False,False,False,False
